current,voltage,capacity
0,3.0887,0
1299.8,3.2257,0
1299.8,3.2257,0
1299.8,3.2527,0.1
1299.8,3.2586,0.1
1299.8,3.2728,0.1
1299.8,3.2734,0.2
1299.8,3.2744,0.2
1299.8,3.2862,0.3
1299.8,3.2877,0.3
1299.8,3.288,0.3
1299.8,3.2883,0.4
1299.8,3.289,0.4
1299.8,3.2896,0.4
1299.8,3.2902,0.5
1299.8,3.2908,0.5
1299.8,3.2914,0.5
1299.8,3.2921,0.6
1299.8,3.293,0.6
1299.8,3.2936,0.6
1299.8,3.2945,0.7
1299.8,3.2955,0.7
1299.8,3.2961,0.8
1299.8,3.2967,0.8
1299.8,3.2973,0.8
1299.8,3.2983,0.9
1299.8,3.2986,0.9
1299.8,3.2995,0.9
1299.8,3.3001,1
1299.8,3.3007,1
1299.8,3.3017,1
1299.8,3.3023,1.1
1299.8,3.3029,1.1
1299.8,3.3035,1.2
1299.8,3.3041,1.2
1299.8,3.3048,1.2
1299.8,3.3054,1.3
1299.8,3.306,1.3
1299.8,3.3066,1.3
1299.8,3.3072,1.4
1299.8,3.3079,1.4
1299.8,3.3088,1.4
1299.8,3.3091,1.5
1299.8,3.3097,1.5
1299.8,3.31,1.6
1299.8,3.3107,1.6
1299.8,3.3113,1.6
1299.8,3.3119,1.7
1299.8,3.3125,1.7
1299.8,3.3128,1.7
1299.8,3.3134,1.8
1299.8,3.3138,1.8
1299.8,3.3144,1.8
1299.8,3.3147,1.9
1299.8,3.3156,1.9
1299.8,3.3162,1.9
1299.8,3.3165,2
1299.8,3.3172,2
1299.8,3.3178,2.1
1299.8,3.3181,2.1
1299.8,3.3187,2.1
1299.8,3.319,2.2
1299.8,3.3196,2.2
1299.8,3.32,2.2
1299.8,3.3203,2.3
1299.8,3.3209,2.3
1299.8,3.3215,2.3
1299.8,3.3218,2.4
1299.8,3.3227,2.4
1299.8,3.3231,2.5
1299.8,3.3237,2.5
1299.8,3.324,2.5
1299.8,3.3243,2.6
1299.8,3.3249,2.6
1299.8,3.3252,2.6
1299.8,3.3258,2.7
1299.8,3.3262,2.7
1299.8,3.3265,2.7
1299.8,3.3268,2.8
1299.8,3.3274,2.8
1299.8,3.3277,2.9
1299.8,3.3283,2.9
1299.8,3.3286,2.9
1299.8,3.3289,3
1299.8,3.3299,3
1299.8,3.3302,3
1299.8,3.3305,3.1
1299.8,3.3308,3.1
1299.8,3.3314,3.1
1299.8,3.3317,3.2
1299.8,3.332,3.2
1299.8,3.3324,3.2
1299.8,3.333,3.3
1299.8,3.3333,3.3
1299.8,3.3336,3.4
1299.8,3.3342,3.4
1299.8,3.3345,3.4
1299.8,3.3348,3.5
1299.8,3.3351,3.5
1299.8,3.3358,3.5
1299.8,3.3361,3.6
1299.8,3.3364,3.6
1299.8,3.3373,3.6
1299.8,3.3376,3.7
1299.8,3.3379,3.7
1299.8,3.3382,3.8
1299.8,3.3389,3.8
1299.8,3.3392,3.8
1299.8,3.3395,3.9
1299.8,3.3398,3.9
1299.8,3.3404,3.9
1299.8,3.3407,4
1299.8,3.341,4
1299.8,3.3417,4
1299.8,3.342,4.1
1299.8,3.3423,4.1
1299.8,3.3426,4.1
