Timestamp,Voltage1,Voltage2,Current,Capacity
119,8.18,8.20,9.29,0.00
656,8.18,8.20,9.29,0.00
1186,8.18,8.20,9.29,0.00
1718,8.18,8.20,9.29,0.00
2248,8.18,8.20,9.29,0.01
2779,8.18,8.20,9.29,0.01
3310,8.18,8.20,9.32,0.01
3841,8.20,8.23,9.32,0.01
4372,8.18,8.18,9.32,0.01
4902,8.18,8.20,9.29,0.01
5434,8.20,8.18,9.29,0.01
5964,8.18,8.20,9.29,0.02
6496,8.20,8.20,9.29,0.02
7026,8.18,8.20,9.29,0.02
7558,8.18,8.20,9.32,0.02
8088,8.18,8.20,9.29,0.02
8620,8.18,8.20,9.29,0.02
9150,8.18,8.20,9.29,0.02
9681,8.18,8.20,9.29,0.02
10210,8.18,8.18,9.29,0.03
10740,8.18,8.20,9.29,0.03
11272,8.18,8.20,9.29,0.03
11803,8.18,8.20,9.32,0.03
12334,8.18,8.20,9.29,0.03
12865,8.18,8.20,9.32,0.03
13395,8.18,8.20,9.29,0.03
13927,8.18,8.20,9.29,0.04
14457,8.18,8.20,9.29,0.04
14989,8.18,8.20,9.29,0.04
15519,8.18,8.20,9.29,0.04
16051,8.18,8.20,9.32,0.04
16582,8.18,8.18,9.29,0.04
17113,8.18,8.20,9.29,0.04
17644,8.18,8.20,9.29,0.05
18174,8.18,8.20,9.29,0.05
18706,8.18,8.20,9.29,0.05
19237,8.18,8.20,9.32,0.05
19768,8.18,8.20,9.32,0.05
20296,8.18,8.20,9.32,0.05
20828,8.18,8.20,9.32,0.05
21359,8.18,8.20,9.29,0.06
21890,8.18,8.20,9.29,0.06
22421,8.18,8.18,9.32,0.06
22951,8.18,8.20,9.29,0.06
23483,8.18,8.20,9.29,0.06
24016,8.18,8.20,9.29,0.06
24548,8.18,8.20,9.29,0.06
25078,8.18,8.20,9.29,0.06
25610,8.18,8.18,9.29,0.07
26140,8.18,8.20,9.29,0.07
26672,8.18,8.20,9.29,0.07
27202,8.18,8.20,9.29,0.07
27734,8.18,8.20,9.29,0.07
28264,8.20,8.18,9.29,0.07
28795,8.20,8.20,9.29,0.07
29326,8.18,8.20,9.32,0.08
29860,8.20,8.20,9.29,0.08
30391,8.20,8.20,9.29,0.08
30922,8.18,8.20,9.29,0.08
31453,8.18,8.20,9.29,0.08
31984,8.18,8.20,9.29,0.08
32515,8.18,8.20,9.29,0.08
33046,8.18,8.20,9.29,0.09
33576,8.18,8.20,9.29,0.09
34108,8.18,8.20,9.29,0.09
34638,8.20,8.20,9.29,0.09
35170,8.18,8.20,9.29,0.09
35700,8.18,8.20,9.29,0.09
36232,8.18,8.20,9.29,0.09
36762,8.18,8.20,9.29,0.09
37294,8.18,8.20,9.29,0.10
37825,8.18,8.20,9.29,0.10
38355,8.18,8.20,9.29,0.10
38887,8.18,8.20,9.29,0.10
39417,8.18,8.20,9.29,0.10
39951,8.18,8.20,9.29,0.10
40482,8.18,8.20,9.29,0.10
41013,8.20,8.20,9.29,0.11
41544,8.18,8.18,9.29,0.11
42075,8.18,8.18,9.32,0.11
42606,8.18,8.20,9.29,0.11
43137,8.18,8.20,9.29,0.11
43668,8.20,8.18,9.29,0.11
44199,8.18,8.20,9.29,0.11
44730,8.18,8.20,9.29,0.12
45260,8.20,8.20,9.32,0.12
45792,8.18,8.20,9.29,0.12
46323,8.18,8.20,9.29,0.12
46857,8.18,8.20,9.32,0.12
47387,8.18,8.20,9.32,0.12
47919,8.18,8.20,9.29,0.12
48449,8.20,8.20,9.29,0.13
48980,8.18,8.20,9.29,0.13
49511,8.18,8.20,9.29,0.13
50044,8.18,8.20,9.29,0.13
50576,8.18,8.18,9.32,0.13
51107,8.18,8.20,9.29,0.13
51638,8.18,8.20,9.29,0.13
52169,8.18,8.20,9.29,0.13
52700,8.18,8.18,9.29,0.14
53231,8.18,8.20,9.29,0.14
53763,8.18,8.20,9.29,0.14
54293,8.18,8.20,9.29,0.14
54823,8.18,8.20,9.29,0.14
55355,8.18,8.20,9.29,0.14
55886,8.18,8.20,9.32,0.14
56417,8.18,8.20,9.29,0.15
56948,8.18,8.20,9.29,0.15
57479,8.18,8.20,9.29,0.15
58010,8.18,8.20,9.29,0.15
58542,8.20,8.18,9.29,0.15
59072,8.18,8.18,9.29,0.15
59602,8.18,8.18,9.32,0.15
60137,8.18,8.20,9.32,0.16
60667,8.18,8.20,9.29,0.16
61199,8.18,8.20,9.29,0.16
61729,8.18,8.18,9.29,0.16
62261,8.20,8.20,9.29,0.16
62791,8.18,8.20,9.29,0.16
63323,8.20,8.18,9.32,0.16
63853,8.18,8.20,9.29,0.16
64385,8.18,8.20,9.29,0.17
64915,8.18,8.20,9.32,0.17
65446,8.18,8.20,9.29,0.17
65978,8.20,8.20,9.29,0.17
66508,8.18,8.20,9.32,0.17
67039,8.18,8.20,9.29,0.17
67570,8.18,8.20,9.29,0.17
68102,8.18,8.20,9.29,0.18
68632,8.18,8.20,9.29,0.18
69166,8.20,8.20,9.32,0.18
69697,8.18,8.20,9.29,0.18
70231,8.18,8.20,9.29,0.18
70762,8.18,8.18,9.29,0.18
71292,8.20,8.20,9.29,0.18
71823,8.18,8.20,9.32,0.19
72354,8.18,8.18,9.29,0.19
72886,8.18,8.20,9.29,0.19
73416,8.18,8.20,9.29,0.19
73948,8.18,8.20,9.32,0.19
74478,8.18,8.20,9.29,0.19
75010,8.18,8.20,9.32,0.19
75540,8.18,8.20,9.32,0.20
76071,8.18,8.20,9.32,0.20
76602,8.18,8.20,9.29,0.20
77133,8.18,8.20,9.29,0.20
77664,8.18,8.20,9.29,0.20
78195,8.18,8.20,9.32,0.20
78727,8.18,8.20,9.29,0.20
79257,8.18,8.20,9.29,0.20
79789,8.20,8.20,9.29,0.21
80322,8.18,8.20,9.29,0.21
80852,8.18,8.20,9.29,0.21
81384,8.18,8.20,9.29,0.21
81914,8.20,8.20,9.32,0.21
82446,8.18,8.20,9.29,0.21
82976,8.18,8.20,9.29,0.21
83508,8.20,8.20,9.32,0.22
84038,8.18,8.20,9.29,0.22
84570,8.18,8.20,9.29,0.22
85101,8.18,8.20,9.32,0.22
85632,8.18,8.20,9.29,0.22
86162,8.20,8.20,9.29,0.22
86693,8.18,8.20,9.29,0.22
87225,8.18,8.20,9.29,0.23
87755,8.18,8.20,9.29,0.23
88287,8.18,8.20,9.29,0.23
88817,8.18,8.20,9.29,0.23
89349,8.20,8.18,9.32,0.23
89879,8.20,8.20,9.29,0.23
90413,8.20,8.20,9.29,0.23
90944,8.18,8.18,9.29,0.23
91475,8.18,8.20,9.32,0.24
92009,8.18,8.18,9.29,0.24
92539,8.18,8.20,9.29,0.24
93071,8.18,8.20,9.32,0.24
93601,8.18,8.20,9.29,0.24
94133,8.18,8.20,9.29,0.24
94663,8.18,8.20,9.29,0.24
95195,8.18,8.20,9.29,0.25
95726,8.18,8.20,9.32,0.25
96257,8.18,8.20,9.29,0.25
96787,8.18,8.20,9.29,0.25
97318,8.18,8.20,9.29,0.25
97850,8.18,8.20,9.32,0.25
98380,8.18,8.20,9.29,0.25
98912,8.18,8.20,9.29,0.26
99442,8.20,8.20,9.29,0.26
99974,8.18,8.20,9.29,0.26
100507,8.15,8.20,9.29,0.26
101038,8.18,8.20,9.29,0.26
101569,8.18,8.20,9.29,0.26
102100,8.18,8.20,9.29,0.26
102631,8.18,8.20,9.29,0.26
103162,8.20,8.20,9.32,0.27
103694,8.18,8.23,9.29,0.27
104224,8.18,8.23,9.29,0.27
104756,8.18,8.20,9.29,0.27
105286,8.18,8.20,9.29,0.27
105818,8.18,8.20,9.29,0.27
106348,8.18,8.18,9.29,0.27
106880,8.18,8.20,9.29,0.28
107411,8.20,8.20,9.29,0.28
107941,8.18,8.20,9.29,0.28
108473,8.18,8.23,9.32,0.28
109004,8.18,8.20,9.29,0.28
109535,8.18,8.20,9.29,0.28
110066,8.18,8.20,9.29,0.28
110595,8.20,8.20,9.29,0.29
111126,8.18,8.18,9.29,0.29
111656,8.20,8.20,9.29,0.29
112188,8.18,8.20,9.32,0.29
112718,8.18,8.20,9.29,0.29
113250,8.18,8.20,9.29,0.29
113783,8.18,8.20,9.32,0.29
114315,8.18,8.20,9.29,0.30
114846,8.18,8.18,9.29,0.30
115377,8.20,8.20,9.32,0.30
115908,8.18,8.20,9.29,0.30
116439,8.18,8.20,9.32,0.30
116970,8.18,8.20,9.29,0.30
117500,8.18,8.20,9.32,0.30
118032,8.18,8.20,9.29,0.30
118563,8.18,8.18,9.29,0.31
119094,8.18,8.18,9.32,0.31
119625,8.18,8.18,9.32,0.31
120159,8.18,8.20,9.32,0.31
120690,8.20,8.20,9.29,0.31
121221,8.20,8.20,9.29,0.31
121752,8.18,8.20,9.29,0.31
122284,8.18,8.20,9.29,0.32
122814,8.18,8.20,9.32,0.32
123345,8.18,8.18,9.29,0.32
123877,8.18,8.20,9.29,0.32
124407,8.18,8.20,9.29,0.32
124939,8.18,8.20,9.29,0.32
125469,8.18,8.20,9.32,0.32
126001,8.18,8.20,9.29,0.33
126531,8.18,8.20,9.29,0.33
127063,8.18,8.20,9.29,0.33
127594,8.18,8.20,9.29,0.33
128124,8.20,8.20,9.29,0.33
128656,8.18,8.20,9.29,0.33
129187,8.18,8.20,9.29,0.33
129721,8.18,8.20,9.29,0.33
130251,8.18,8.20,9.32,0.34
130783,8.18,8.20,9.29,0.34
131313,8.18,8.20,9.29,0.34
131845,8.18,8.20,9.29,0.34
132376,8.18,8.20,9.32,0.34
132907,8.18,8.20,9.29,0.34
133438,8.20,8.20,9.29,0.34
133969,8.18,8.20,9.32,0.35
134503,8.18,8.20,9.32,0.35
135033,8.18,8.20,9.29,0.35
135565,8.20,8.20,9.29,0.35
136095,8.18,8.20,9.29,0.35
136627,8.18,8.20,9.29,0.35
137158,8.18,8.20,9.29,0.35
137689,8.20,8.18,9.29,0.36
138220,8.18,8.20,9.29,0.36
138752,8.18,8.20,9.29,0.36
139285,8.18,8.20,9.29,0.36
139816,8.18,8.20,9.32,0.36
140347,8.20,8.20,9.32,0.36
140878,8.18,8.20,9.32,0.36
141409,8.18,8.20,9.29,0.37
141940,8.20,8.20,9.29,0.37
142471,8.18,8.20,9.29,0.37
143002,8.18,8.18,9.32,0.37
143534,8.18,8.20,9.29,0.37
144064,8.18,8.20,9.29,0.37
144595,8.18,8.20,9.32,0.37
145127,8.20,8.20,9.29,0.37
145657,8.18,8.20,9.29,0.38
146189,8.18,8.18,9.29,0.38
146719,8.20,8.20,9.32,0.38
147251,8.18,8.20,9.29,0.38
147782,8.18,8.20,9.29,0.38
148313,8.18,8.18,9.29,0.38
148844,8.20,8.20,9.32,0.39
149378,8.20,8.20,9.32,0.39
149909,8.18,8.20,9.29,0.39
150439,8.18,8.20,9.32,0.39
150971,8.20,8.20,9.29,0.39
151502,8.18,8.20,9.32,0.39
152033,8.18,8.20,9.29,0.39
152564,8.18,8.18,9.29,0.39
153095,8.18,8.20,9.29,0.40
153626,8.18,8.18,9.29,0.40
154158,8.20,8.20,9.29,0.40
154688,8.18,8.20,9.29,0.40
155223,8.18,8.20,9.29,0.40
155753,8.20,8.20,9.29,0.40
156284,8.20,8.20,9.29,0.40
156816,8.18,8.20,9.29,0.40
157346,8.18,8.20,9.29,0.41
157878,8.18,8.20,9.29,0.41
158409,8.18,8.20,9.29,0.41
158943,8.20,8.20,9.32,0.41
159473,8.18,8.20,9.29,0.41
160005,8.18,8.20,9.29,0.41
160535,8.18,8.20,9.32,0.42
161067,8.20,8.20,9.32,0.42
161598,8.18,8.20,9.29,0.42
162128,8.20,8.20,9.32,0.42
