Timestamp,Voltage1,Current,CurrentCapacity,TotalCapacity
198,7.06,706.0,0.04,0.04
738,7.08,708.0,0.11,0.15
1272,7.06,706.0,0.1,0.25
1806,7.06,706.0,0.1,0.35
2343,7.06,706.0,0.11,0.46
2878,7.06,706.0,0.1,0.56
3411,7.06,706.0,0.1,0.67
3946,7.06,706.0,0.1,0.77
4480,7.06,706.0,0.1,0.88
5014,7.08,708.0,0.11,0.98
5549,7.03,703.0,0.1,1.09
6083,7.08,708.0,0.11,1.19
6621,7.06,706.0,0.11,1.3
7160,7.06,706.0,0.11,1.4
7694,7.06,706.0,0.1,1.51
8228,7.06,706.0,0.1,1.61
8762,7.06,706.0,0.1,1.72
9296,7.06,706.0,0.1,1.82
9831,7.06,706.0,0.1,1.93
10365,7.06,706.0,0.1,2.03
10899,7.03,703.0,0.1,2.14
11435,7.03,703.0,0.1,2.24
11969,7.06,706.0,0.1,2.35
12507,7.06,706.0,0.11,2.45
13043,7.06,706.0,0.11,2.56
13578,7.06,706.0,0.1,2.66
14114,7.06,706.0,0.11,2.77
14649,7.06,706.0,0.1,2.87
15183,7.06,706.0,0.1,2.98
15718,7.06,706.0,0.1,3.08
16252,7.06,706.0,0.1,3.19
16787,7.06,706.0,0.1,3.29
17325,7.06,706.0,0.11,3.4
17858,7.06,706.0,0.1,3.5
18393,7.08,708.0,0.11,3.61
18926,7.06,706.0,0.1,3.71
19461,7.06,706.0,0.1,3.82
19998,7.06,706.0,0.11,3.92
20536,7.06,706.0,0.11,4.03
21070,7.06,706.0,0.1,4.13
21605,7.06,706.0,0.1,4.24
22142,7.06,706.0,0.11,4.34
22676,7.06,706.0,0.1,4.45
23211,7.06,706.0,0.1,4.55
23745,7.03,703.0,0.1,4.66
24279,7.06,706.0,0.1,4.76
24813,7.06,706.0,0.1,4.87
25348,7.06,706.0,0.1,4.97
25882,7.06,706.0,0.1,5.08
26420,7.03,703.0,0.11,5.18
26957,7.03,703.0,0.1,5.29
27494,7.06,706.0,0.11,5.39
28028,7.06,706.0,0.1,5.5
28562,7.03,703.0,0.1,5.6
29096,7.03,703.0,0.1,5.7
29631,7.06,706.0,0.1,5.81
30166,7.03,703.0,0.1,5.91
30700,7.03,703.0,0.1,6.02
31235,7.03,703.0,0.1,6.12
31769,7.06,706.0,0.1,6.23
32307,7.06,706.0,0.11,6.33
32840,7.06,706.0,0.1,6.44
33378,7.06,706.0,0.11,6.54
33914,7.06,706.0,0.11,6.65
34449,7.06,706.0,0.1,6.75
34983,7.06,706.0,0.1,6.86
35518,7.03,703.0,0.1,6.96
36052,7.06,706.0,0.1,7.07
36587,7.06,706.0,0.1,7.17
37124,7.03,703.0,0.1,7.28
37658,7.03,703.0,0.1,7.38
38192,7.03,703.0,0.1,7.48
38726,7.06,706.0,0.1,7.59
39261,7.06,706.0,0.1,7.69
39798,7.03,703.0,0.1,7.8
40332,7.03,703.0,0.1,7.9
40870,7.06,706.0,0.11,8.01
41405,7.03,703.0,0.1,8.11
41942,7.03,703.0,0.1,8.22
42476,7.03,703.0,0.1,8.32
43011,7.03,703.0,0.1,8.43
43544,7.03,703.0,0.1,8.53
44079,7.06,706.0,0.1,8.64
44613,7.06,706.0,0.1,8.74
45148,7.03,703.0,0.1,8.84
45682,7.06,706.0,0.1,8.95
46217,7.06,706.0,0.1,9.05
46756,7.06,706.0,0.11,9.16
47294,7.03,703.0,0.11,9.27
47827,7.06,706.0,0.1,9.37
48362,7.03,703.0,0.1,9.47
48897,7.03,703.0,0.1,9.58
49430,7.06,706.0,0.1,9.68
49966,7.06,706.0,0.11,9.79
50499,7.06,706.0,0.1,9.89
51034,7.03,703.0,0.1,10.0
51569,7.03,703.0,0.1,10.1
52106,7.03,703.0,0.1,10.21
52640,7.03,703.0,0.1,10.31
53177,7.06,706.0,0.11,10.42
53711,7.03,703.0,0.1,10.52
54248,7.03,703.0,0.1,10.63
54782,7.06,706.0,0.1,10.73
55317,7.06,706.0,0.1,10.84
55852,7.06,706.0,0.1,10.94
56387,7.06,706.0,0.1,11.05
56924,7.06,706.0,0.11,11.15
57457,7.06,706.0,0.1,11.25
57992,7.03,703.0,0.1,11.36
58526,7.03,703.0,0.1,11.46
59060,7.06,706.0,0.1,11.57
59594,7.06,706.0,0.1,11.67
