Timestamp,Voltage1,Voltage2,Current,CurrentCapacity,TotalCapacity
122,8.01,6.15,27.97,0.000948,0.000948
662,8.01,6.18,28.08,0.004211,0.005159
1196,7.98,6.15,27.97,0.004148,0.009307
1731,8.01,6.18,28.08,0.004172,0.01348
2265,7.98,6.15,27.97,0.004148,0.017628
2802,8.01,6.18,28.08,0.004188,0.021816
3337,8.06,6.18,28.08,0.004172,0.025988
3870,7.98,6.15,27.97,0.00414,0.030129
4405,7.98,6.15,27.97,0.004156,0.034285
4938,7.98,6.15,27.97,0.00414,0.038425
5473,8.01,6.15,27.97,0.004156,0.042581
6007,8.01,6.18,28.08,0.004165,0.046746
6545,7.98,6.18,28.08,0.004196,0.050942
7081,8.01,6.15,27.97,0.004164,0.055105
7619,7.98,6.15,27.97,0.004179,0.059284
8154,7.98,6.18,28.08,0.004172,0.063457
8687,7.93,6.15,27.97,0.00414,0.067597
9222,8.01,6.15,27.97,0.004156,0.071753
9755,7.98,6.15,27.97,0.00414,0.075894
10290,7.98,6.15,27.97,0.004156,0.08005
10824,7.98,6.18,28.08,0.004165,0.084214
11359,8.01,6.15,27.97,0.004156,0.08837
11893,7.98,6.15,27.97,0.004148,0.092518
12428,7.98,6.15,27.97,0.004156,0.096674
12968,7.98,6.15,27.97,0.004195,0.100869
13502,8.01,6.2,28.19,0.004181,0.10505
14040,7.91,6.13,27.85,0.004163,0.109213
14573,7.98,6.15,27.97,0.00414,0.113353
15108,8.01,6.18,28.08,0.004172,0.117526
15642,8.01,6.15,27.97,0.004148,0.121674
16177,8.01,6.15,27.97,0.004156,0.12583
16711,8.01,6.15,27.97,0.004148,0.129978
17246,7.98,6.15,27.97,0.004156,0.134134
17783,8.01,6.15,27.97,0.004171,0.138305
18317,7.98,6.15,27.97,0.004148,0.142453
18851,8.06,6.18,28.08,0.004165,0.146618
19385,8.03,6.18,28.08,0.004165,0.150783
19922,8.01,6.18,28.08,0.004188,0.154971
20460,7.98,6.15,27.97,0.004179,0.15915
20995,7.98,6.15,27.97,0.004156,0.163306
21529,7.98,6.15,27.97,0.004148,0.167454
22064,7.98,6.18,28.08,0.004172,0.171627
22601,8.01,6.18,28.08,0.004188,0.175815
23135,7.98,6.15,27.97,0.004148,0.179963
23669,8.01,6.18,28.08,0.004165,0.184127
24203,8.06,6.18,28.08,0.004165,0.188292
24737,7.98,6.15,27.97,0.004148,0.19244
25272,7.98,6.15,27.97,0.004156,0.196596
25806,7.98,6.15,27.97,0.004148,0.200744
26344,8.01,6.18,28.08,0.004196,0.20494
