Timestamp,Voltage1,Voltage2,Current,CurrentCapacity,TotalCapacity,OCV
198,7.06,5.0,0.02275,0.001251,0.001251,7.2238
738,7.08,5.0,0.02275,0.003412,0.004664,7.2438
1806,7.06,5.03,0.02286,0.003391,0.011429,7.224591999999999
5014,7.08,5.03,0.02286,0.003391,0.031767,7.244592
5549,7.03,5.0,0.02275,0.003381,0.035148,7.1938
6621,7.06,5.05,0.0229699999999999,0.003433,0.041972,7.225384
10899,7.03,5.05,0.0229699999999999,0.003407,0.069253,7.195384000000001
11435,7.03,5.03,0.02286,0.003404,0.072657,7.194592
22142,7.06,4.98,0.02264,0.003377,0.140565,7.223007999999999
23745,7.03,4.98,0.02264,0.003358,0.150645,7.193008
25882,7.06,4.96,0.02253,0.003342,0.164117,7.222215999999999
35518,7.03,4.96,0.02253,0.003348,0.224729,7.192216
145763,7.01,5.0,0.02275,0.003406,0.920709,7.1738
146299,6.98,4.98,0.02264,0.003371,0.924079,7.143008
152722,7.08,4.98,0.02264,0.003364,0.964685,7.243008
160218,7.08,5.05,0.0229699999999999,0.003414,1.012302,7.245384
183233,7.08,4.93,0.02242,0.003325,1.15792,7.241424
183768,7.06,4.91,0.02231,0.003315,1.161235,7.220631999999999
190729,7.06,5.08,0.02308,0.00345,1.205505,7.226176
213744,7.08,4.96,0.02253,0.003348,1.350645,7.242216
219099,7.06,5.1,0.02319,0.003447,1.384353,7.226967999999999
221239,7.08,5.08,0.02308,0.003424,1.398024,7.246176
233016,7.08,5.1,0.02319,0.003447,1.473569,7.246968
249602,7.08,5.13,0.0233,0.00347,1.579865,7.24776
250676,7.03,5.1,0.02319,0.00344,1.586785,7.196968
254420,7.06,5.13,0.0233,0.003457,1.610923,7.22776
347029,7.03,5.13,0.0233,0.00345,2.208509,7.197760000000001
452763,7.03,5.08,0.02308,0.003482,2.889682,7.196176
838378,7.01,5.08,0.02308,0.003456,5.369043,7.176176
1226255,7.01,5.05,0.0229699999999999,0.003465,7.858377,7.175383999999999
1534515,7.01,5.1,0.02319,0.003473,9.834306,7.176968
2426647,6.98,5.05,0.0229699999999999,0.003465,15.54407,7.145384
2563818,7.01,5.03,0.02286,0.003423,16.420622,7.174592
3242979,6.98,5.08,0.02308,0.003462,20.756794,7.1461760000000005
3507085,6.98,5.03,0.02286,0.003423,22.441675,7.144592
4920006,6.98,5.0,0.02275,0.003438,31.442057,7.143800000000001
5270118,6.96,5.03,0.02286,0.003474,33.669418,7.124592
5331969,6.96,5.05,0.0229699999999999,0.00349,34.062706,7.125384
5646708,6.96,5.0,0.02275,0.003438,36.063766,7.1238
7579501,6.93,5.0,0.02275,0.003438,48.329693,7.0938
8318486,6.96,4.98,0.02264,0.003427,53.008881,7.123008
8344431,6.93,5.03,0.02286,0.003454,53.173054,7.094592
9351241,6.93,4.98,0.02264,0.003421,59.539616,7.093007999999999
10088237,6.93,5.05,0.0229699999999999,0.00349,64.19429,7.095383999999999
10091505,6.93,5.08,0.02308,0.003488,64.215126,7.096176
10092594,6.96,5.08,0.02308,0.003494,64.222092,7.126176
10106770,6.96,5.1,0.02319,0.003524,64.312859,7.126968
10110040,6.93,5.1,0.02319,0.003531,64.333878,7.096968
10117123,6.96,4.91,0.02231,0.003371,64.37928,7.120632
10121486,6.93,5.13,0.0233,0.003522,64.407402,7.09776
10123663,6.96,4.96,0.02253,0.00341,64.42128,7.122216
10124208,6.96,5.13,0.0233,0.003528,64.424805,7.12776
10130513,6.93,5.15,0.02342,0.003538,64.465607,7.098624
10131060,6.96,5.15,0.02342,0.003558,64.469162,7.128624
10415058,6.98,5.1,0.02319,0.003505,66.305099,7.146968
10628749,6.98,5.13,0.0233,0.003522,67.683067,7.147760000000001
10819298,6.91,5.1,0.02319,0.003511,68.911713,7.076968
10886896,6.91,5.13,0.0233,0.003541,69.348724,7.0777600000000005
11921179,6.91,5.08,0.02308,0.003501,76.025551,7.076176
13310773,6.88,5.08,0.02308,0.003514,84.966042,7.046176
13552371,6.88,5.1,0.02319,0.003511,86.517471,7.046968
13850441,6.91,5.05,0.0229699999999999,0.003478,88.430595,7.075384
14386365,6.88,5.05,0.0229699999999999,0.003478,91.868416,7.045384
15587537,6.88,5.03,0.02286,0.003454,99.561676,7.044592
15766489,6.91,5.03,0.02286,0.003461,100.7058,7.074592
16394909,6.86,5.05,0.0229699999999999,0.003471,104.71991,7.025384000000001
16524782,6.86,5.08,0.02308,0.003494,105.54891,7.026176
16760218,6.86,5.03,0.02286,0.003461,107.05086,7.024592
17465052,6.88,5.0,0.02275,0.003444,111.54222,7.0438
17865620,6.86,5.0,0.02275,0.003463,114.09079,7.0238000000000005
17910919,6.86,4.98,0.02264,0.003427,114.37949,7.023008
17912009,6.86,5.1,0.02319,0.003511,114.38651,7.026968
17913102,6.88,5.13,0.0233,0.003547,114.3935,7.04776
17918865,6.88,4.98,0.02264,0.003421,114.43029,7.043008
17922139,6.86,5.13,0.0233,0.003547,114.45116,7.027760000000001
17939054,6.91,4.98,0.02264,0.003427,114.55882,7.073008
18549003,6.84,5.0,0.02275,0.003444,118.44371,7.0038
18653245,6.84,5.03,0.02286,0.003461,119.10779,7.004592
18666888,6.84,5.1,0.02319,0.003518,119.1945,7.006968
18796791,6.84,5.08,0.02308,0.003494,120.02101,7.006176
18831172,6.88,4.96,0.02253,0.00341,120.23923,7.042216
18838832,6.86,4.96,0.02253,0.003473,120.28773,7.022216
18932709,6.84,4.98,0.02264,0.003446,120.88558,7.003008
19044048,6.84,5.05,0.0229699999999999,0.003471,121.59289,7.005383999999999
19148622,6.84,4.96,0.02253,0.003404,122.2578,7.002216
19627899,6.86,4.93,0.02242,0.003387,125.29987,7.0214240000000006
19894062,6.88,4.93,0.02242,0.003394,126.98862,7.041424
20027273,6.81,4.98,0.02264,0.003434,127.83272,6.973007999999999
20360607,6.84,4.93,0.02242,0.0034,129.94688,7.001424
20927123,6.81,5.05,0.0229699999999999,0.003478,133.5325,6.975384
20955308,6.81,4.96,0.02253,0.003429,133.71063,6.972216
21016798,6.81,5.0,0.02275,0.003463,134.09923,6.9738
21021162,6.81,5.03,0.02286,0.003461,134.12683,6.974592
21030077,6.81,5.08,0.02308,0.00352,134.18327,6.976176
21229186,6.81,4.93,0.02242,0.003419,135.44194,6.971424
21294700,6.84,4.91,0.02231,0.003383,135.85591,7.000632
21903833,6.81,4.91,0.02231,0.003402,139.69815,6.970631999999999
21944239,6.86,4.91,0.02231,0.003377,139.95299,7.020632
22075304,6.79,4.98,0.02264,0.00344,140.77876,6.953008
22315320,6.81,4.88,0.02219,0.00336,142.29071,6.969767999999999
22448030,6.79,4.93,0.02242,0.003394,143.12599,6.951424
22603117,6.79,4.96,0.02253,0.003429,144.10088,6.952216
22617317,6.79,5.05,0.0229699999999999,0.003478,144.19011,6.9553840000000005
22814237,6.79,5.03,0.02286,0.003461,145.42844,6.954592
22916357,6.79,4.91,0.02231,0.003377,146.0699,6.950632
22933289,6.79,5.0,0.02275,0.003457,146.17653,6.9538
23149016,6.84,4.88,0.02219,0.003385,147.53117,6.999768
23556229,6.79,4.88,0.02219,0.003366,150.08618,6.949768
24377508,6.76,5.0,0.02275,0.003438,155.22946,6.9238
24472559,6.76,4.93,0.02242,0.003394,155.82362,6.921424
24513056,6.79,4.86,0.02208,0.00338,156.077,6.948976
24539028,6.76,4.96,0.02253,0.003417,156.23944,6.922216
24566341,6.76,4.98,0.02264,0.003427,156.41045,6.923007999999999
24578904,6.76,4.88,0.02219,0.003366,156.48924,6.919768
24579448,6.76,4.91,0.02231,0.003371,156.49261,6.920632
24783229,6.76,5.03,0.02286,0.003461,157.76616,6.924592
24787599,6.81,4.86,0.02208,0.003343,157.79346,6.968976
24835127,6.76,4.86,0.02208,0.003349,158.09039,6.918976
25292726,6.79,4.83,0.02197,0.003333,160.94438,6.948184
25848819,6.76,4.83,0.02197,0.003394,164.40869,6.918184
25897448,6.74,4.98,0.02264,0.003434,164.71115,6.903008
26035135,6.74,4.96,0.02253,0.003417,165.56734,6.902216
26176653,6.74,4.91,0.02231,0.003402,166.44754,6.900632
26182109,6.74,4.93,0.02242,0.0034,166.48149,6.901424
26208888,6.74,5.0,0.02275,0.003438,166.64803,6.9038
26236750,6.74,4.88,0.02219,0.00336,166.8212,6.899768
26341442,6.74,4.86,0.02208,0.003386,167.4727,6.898976
26911175,6.74,4.83,0.02197,0.003333,171.01117,6.8981840000000005
27333384,6.76,4.81,0.02186,0.003316,173.62971,6.917392
27451447,6.71,4.83,0.02197,0.003326,174.36122,6.868184
27678911,6.74,4.81,0.02186,0.003316,175.76825,6.897392
27785149,6.71,4.86,0.02208,0.003355,176.42538,6.868976
27946175,6.71,4.88,0.02219,0.003372,177.42075,6.869768
28012979,6.71,4.96,0.02253,0.003423,177.8334,6.872216
28119008,6.71,4.93,0.02242,0.0034,178.48848,6.871424
28140364,6.71,4.91,0.02231,0.003389,178.62018,6.870632
28374788,6.71,4.81,0.02186,0.003322,180.06682,6.867392
28775490,6.74,4.79,0.02175,0.003305,182.53593,6.8966
28793568,6.71,4.79,0.02175,0.003305,182.64726,6.8666
29239724,6.69,4.91,0.02231,0.003383,185.39316,6.850632
29292193,6.69,4.93,0.02242,0.003394,185.71608,6.851424000000001
29529157,6.69,4.86,0.02208,0.003349,187.17332,6.848976
29544460,6.69,4.96,0.02253,0.003417,187.26741,6.852216
